STATE;YEAR;DigitalOcio_hours;M_minutes;M_share;GFR;ASFR_15_19;ASFR_20_24;ASFR_25_29;ASFR_30_34;ASFR_35_39;ASFR_40_44;BirthShare_15_19;BirthShare_20_24;BirthShare_25_29;BirthShare_30_34;BirthShare_35_39;BirthShare_40_44;MeanMaternalAge;FirstBirthRate
Alabama;2005;3.046392496;200;0.1388888889;63.36;48.05783514;116.9045408;113.512634;74.38822398;29.37907145;5.332473381;0.1289621295;0.3175346012;0.2778552225;0.1848385277;0.07544226493;0.01536725414;26.02298375;26.02658916
Alabama;2006;3.180071545;253.3175562;0.1759149696;65.91;51.83111931;121.3598492;116.8898679;75.11618543;30.56212942;5.349377564;0.1354713807;0.313661393;0.2854626529;0.1746671533;0.07623339734;0.01450402272;25.92928741;27.53494035
Alabama;2007;2.924938918;219.4163401;0.1523724584;67.43;52.06842663;123.7754322;117.7913954;77.99932688;31.42526596;5.506159229;0.1345484365;0.3129767449;0.2852191673;0.175705157;0.0773313116;0.01421918275;25.95178212;28.3232061
Alabama;2008;3.323263823;261.3182313;0.181470994;66.98;50.53284133;121.6342086;117.8606048;78.02871938;30.6613502;5.39262353;0.133011127;0.3104991608;0.2890998943;0.1775035743;0.07624168583;0.01364455772;25.98802395;27.86567848
Alabama;2009;3.519820868;226.5278103;0.1573109793;64.73;48.30249548;113.7671616;114.4966163;77.70204479;28.83011675;5.590934162;0.1317648948;0.3038060061;0.290444837;0.1858198169;0.07383973021;0.01432471495;26.04990646;27.26233291
Alabama;2010;3.672337309;211.8966122;0.1471504251;62.35;44.03386944;105.2023121;112.7037948;76.29955715;29.41760827;6.038479516;0.1225978796;0.2962684698;0.295233325;0.1933049503;0.07663410969;0.01596126555;26.25959037;25.81326389
Alabama;2011;3.295714221;244.5867103;0.1698518822;61.66;41.00766295;101.4545413;111.6107592;77.37436137;30.38148579;5.995361253;0.1116271999;0.2971151572;0.2955443705;0.2018207614;0.07769482823;0.01619768267;26.42135822;25.57134588
Alabama;2012;3.49953585;238.7808289;0.1658200201;60.8;39.13603801;96.76105113;110.6165628;78.47081202;30.55076878;5.493652814;0.1062388531;0.2932501029;0.2974859377;0.2094080121;0.07844011524;0.01517697901;26.51919802;24.98163345
Alabama;2013;4.349875684;210.412046;0.1461194764;60.48;34.210159;97.54751513;110.8778251;78.86082105;31.03221829;5.565413776;0.09289024411;0.2984133547;0.3011352869;0.2123279412;0.07978017813;0.01545299499;26.66949705;24.44207292
Alabama;2014;3.491054185;227.7374368;0.1581509978;61.71;32.01068514;97.19039469;113.4677692;84.22398364;33.16926315;5.74255067;0.08444886536;0.288161311;0.305846849;0.2221397984;0.083959942;0.01544323431;26.89149467;25.15683893
Alabama;2015;3.890766175;201.7914253;0.1401329342;62.1;30.16338767;97.90650087;113.3248941;85.44694534;34.73997733;5.947650422;0.07957884838;0.2820103777;0.3111786536;0.2231196789;0.08852915988;0.01558328156;27.0211868;24.09762132
Alabama;2016;3.886764699;252.842349;0.1755849646;61.99;28.37957684;96.75748597;111.2363706;86.69233895;35.72703378;6.119286348;0.0758499255;0.272010023;0.3157422457;0.2275497765;0.09320398212;0.01564404714;27.17168148;23.46506667
Alabama;2017;4.029710522;212.3328399;0.1474533611;61.94;27.03443528;96.80981595;110.0914203;86.86958885;36.38601262;6.540459038;0.07207314379;0.2681712353;0.3190523937;0.2281494825;0.09596723485;0.01658650987;27.28787094;23.48612605
Alabama;2018;3.954485775;238.1167977;0.1653588873;60.77;25.1685278;94.42235264;107.5832468;86.37565882;36.33487264;6.878050748;0.06805647091;0.2648028027;0.3182212356;0.2327864303;0.09839050956;0.0177425509;27.40982474;23.10179869
Alabama;2019;4.302721308;224.7155688;0.1560524784;61.63;25.56974301;95.16128028;110.1945617;87.27021651;36.90866032;6.994361756;0.06760452634;0.2611705583;0.3189976411;0.2354962224;0.09883422789;0.01789682404;27.45117022;22.69067162
Alabama;2020;3.544310315;218.8829156;0.1520020247;60.46;23.27753607;87.98995642;109.6974259;84.16141541;37.08561293;7.198313538;0.06584161858;0.2533894181;0.3166585552;0.2414308559;0.1032121254;0.01946742682;27.60076549;21.99269303
Alabama;2021;4.376601217;181.346688;0.1259352;58.775;22.06171949;85.27650999;111.856314;85.45157626;38.20146219;7.318674935;0.06284954775;0.2483428848;0.3137989367;0.2492922737;0.1057101429;0.02000621418;27.73018504;22.13536109
